funny,beautiful,ingenious,courageous,longwinded,confusing,informative,fascinating,unconvincing,persuasive,jaw_dropping,ok,obnoxious,inspiring,total,positive,negative,talk_id
11,26,156,9,21,55,111,172,12,42,105,10,9,188,927,820,97,62
199,313,93,159,73,30,411,242,53,575,35,141,21,1260,3605,3287,177,63
11,45,37,102,45,7,208,86,23,160,32,47,11,368,1182,1049,86,64
44,168,60,74,71,20,353,229,17,178,79,46,5,403,1747,1588,113,65
3,126,25,637,27,15,234,198,24,171,296,24,13,574,2367,2264,79,66
36,441,35,289,70,28,387,432,30,285,107,63,27,944,3174,2956,155,67
785,95,444,91,46,23,997,571,59,811,100,158,34,1040,5254,4934,162,68
306,101,106,39,54,34,360,298,184,29,54,66,47,230,1908,1523,319,69
319,109,221,2,123,80,173,367,102,32,93,284,35,62,2002,1378,340,70
15,20,121,19,49,14,89,68,34,63,34,17,17,116,676,545,114,71
35,27,89,23,19,7,319,310,19,133,181,21,15,176,1374,1293,60,72
468,180,159,52,68,31,100,138,70,33,23,123,14,542,2001,1695,183,73
12,100,97,78,31,15,313,158,30,174,72,59,14,518,1671,1522,90,74
7,24,42,11,61,69,59,53,60,2,15,44,18,91,556,304,208,75
97,88,23,36,100,32,87,76,81,28,9,64,45,162,928,606,258,76
11,123,17,22,3,7,2,38,20,5,22,31,13,71,385,311,43,77
31,33,130,12,11,1,199,98,14,54,9,56,19,276,943,842,45,78
507,364,448,27,21,10,46,402,16,20,162,44,9,362,2438,2338,56,79
15,20,78,66,173,88,151,119,273,47,19,108,66,108,1331,623,600,80
14,241,387,74,33,11,448,704,18,234,338,38,27,874,3441,3314,89,81
3,12,54,21,8,23,199,163,3,23,74,10,0,73,666,622,34,82
13,95,56,7,89,53,21,65,80,0,16,89,57,43,684,316,279,83
272,544,119,56,23,15,604,1342,70,106,1936,61,37,556,5741,5535,145,84
18,1262,141,71,108,25,262,600,75,62,882,145,88,611,4350,3909,296,85
159,111,108,16,21,5,496,724,3,16,234,67,8,85,2053,1949,37,86
259,84,45,16,6,8,11,10,16,16,5,70,28,25,599,471,58,87
2,215,1,5,20,5,0,32,21,7,17,58,9,45,437,324,55,88
219,67,189,27,197,101,680,653,264,182,89,289,45,204,3206,2310,607,89
122,1535,312,397,107,49,483,1291,33,218,1587,114,29,2061,8338,8006,218,90
75,138,415,149,49,27,257,286,34,907,207,25,39,695,3303,3129,149,91
130,18,66,14,83,24,267,93,41,68,16,66,16,166,1068,838,164,92
169,225,189,11,7,8,4,117,5,8,133,17,11,124,1028,980,31,93
5,396,2,13,9,2,0,24,17,3,35,47,7,61,621,539,35,94
1,272,3,20,12,12,6,31,13,24,48,23,15,169,649,574,52,95
11,223,36,435,104,87,75,112,316,98,27,66,66,319,1975,1336,573,96
1203,399,663,3236,192,86,1113,934,539,2475,551,172,406,2935,14904,13509,1223,97
600,17,94,38,54,56,11,19,37,1,39,71,116,18,1171,837,263,98
58,224,27,9,4,8,0,43,26,1,12,55,14,40,521,414,52,99
11,8,33,8,39,19,334,100,17,51,15,85,12,55,787,615,87,100
23,364,12,6,29,10,1,67,22,12,54,80,23,102,805,641,84,101
94,51,77,19,143,54,302,97,50,22,39,163,17,176,1304,877,264,102
275,61,88,57,33,32,26,36,38,16,23,101,29,52,867,634,132,103
1006,52,191,446,106,29,686,342,113,1678,124,87,193,801,5854,5326,441,104
43,50,73,10,25,7,113,84,29,13,11,50,7,144,659,541,68,105
10,24,25,30,10,159,189,58,261,49,15,115,44,53,1042,453,474,106
256,39,375,73,37,22,635,750,44,268,151,43,28,553,3274,3100,131,107
330,156,22,5,22,3,383,347,15,31,50,28,14,144,1550,1468,54,108
70,632,1736,60,40,76,647,1623,41,95,14728,119,21,857,20745,20448,178,109
4,42,19,174,33,19,234,57,72,207,49,39,27,378,1354,1164,151,110
20,132,43,136,21,2,347,78,2,176,42,39,3,363,1404,1337,28,111
342,161,470,45,13,10,125,301,77,48,167,94,8,177,2038,1836,108,112
330,424,57,71,47,73,185,209,50,171,39,90,26,947,2719,2433,196,113
3,11,11,12,64,0,37,12,60,4,9,26,19,29,297,128,143,114
384,16,293,194,31,44,479,319,88,535,160,17,87,149,2796,2529,250,115
3,216,8,6,14,10,0,48,24,8,19,57,10,54,477,362,58,116
3,16,44,9,17,13,61,54,34,4,81,43,14,16,409,288,78,117
1021,218,730,284,27,29,1544,1265,36,828,5137,74,21,1569,12783,12596,113,118
32,62,172,720,32,21,237,437,64,205,1507,48,54,683,4274,4055,171,119
93,67,327,181,167,107,854,763,146,1707,143,222,62,488,5327,4623,482,120
23,30,303,83,26,13,469,553,15,235,463,47,16,400,2676,2559,70,121
50,360,558,31,125,54,232,642,95,28,1157,135,48,416,3931,3474,322,122
7,15,86,38,34,50,386,103,94,144,40,83,18,40,1138,859,196,123
91,238,628,37,70,21,218,596,51,95,1285,90,18,459,3897,3647,160,124
2460,169,891,43,78,82,81,431,151,76,103,238,65,92,4960,4346,376,125
65,1054,252,23,149,52,449,912,28,31,1772,111,14,397,5309,4955,243,126
440,38,105,52,8,10,42,14,44,27,11,74,52,96,1013,825,114,127
29,35,30,254,17,15,249,80,15,165,53,29,10,286,1267,1181,57,128
11,26,28,102,32,14,141,39,32,1249,38,16,22,193,1943,1827,100,129
36,236,310,348,14,13,70,216,12,23,136,51,14,1047,2526,2422,53,130
1,6,31,8,16,1,98,33,11,34,5,16,3,119,382,335,31,131
5,146,54,320,45,3,171,115,29,183,50,65,1,810,1997,1854,78,132
140,221,24,133,13,13,83,102,16,28,42,39,14,220,1088,993,56,133
7,87,47,126,19,7,167,89,18,140,32,44,6,412,1201,1107,50,134
17,359,13,72,10,5,15,42,5,12,32,18,3,207,810,769,23,135
17,210,24,10,4,7,4,54,5,2,35,13,0,71,456,427,16,136
40,52,37,75,42,7,137,91,31,83,19,64,25,412,1115,946,105,137
26,265,942,348,28,24,310,688,25,87,2080,65,25,1075,5988,5821,102,138
965,195,243,45,83,31,557,518,51,206,41,104,40,343,3422,3113,205,139
52,25,64,240,8,9,403,115,15,1020,67,38,7,251,2314,2237,39,140
214,631,1514,74,37,77,109,1289,67,30,2186,100,21,656,7005,6703,202,141
100,46,175,13,352,206,956,476,91,150,29,193,24,148,2959,2093,673,142
39,48,147,176,116,42,1314,731,242,1739,109,161,94,491,5449,4794,494,143
3,60,18,338,33,25,145,65,72,51,69,30,23,198,1130,947,153,144
33,55,24,56,31,21,436,349,25,46,23,64,1,167,1331,1189,78,145
643,183,185,27,190,145,184,269,168,45,22,155,50,403,2669,1961,553,146
244,20,70,79,61,14,460,356,152,158,97,69,19,121,1920,1605,246,147
111,31,165,18,70,13,111,140,12,13,34,31,3,148,900,771,98,148
47,1224,73,65,61,15,880,1768,25,78,4971,108,24,1166,10505,10272,125,149
307,414,229,41,73,67,9,562,200,13,1153,533,110,125,3836,2853,450,150
230,46,55,150,57,7,252,367,33,44,55,72,12,700,2080,1899,109,151
33,31,297,27,25,42,278,448,64,20,106,60,11,173,1615,1413,142,152
263,138,49,28,118,160,25,121,67,7,15,67,28,144,1230,790,373,153
26,16,111,19,190,128,454,249,166,49,29,154,21,211,1823,1164,505,154
673,215,1458,77,52,25,2402,3847,31,423,1775,107,15,969,12069,11839,123,155
1,29,47,137,38,8,222,78,27,73,31,31,3,177,902,795,76,156
95,308,37,1417,54,16,453,466,39,128,121,44,28,1286,4492,4311,137,157
400,1621,106,194,245,109,863,1170,88,618,139,268,28,3774,9623,8885,470,158
254,91,344,423,76,35,1014,589,76,2163,157,89,41,1074,6426,6109,228,159
34,15,195,12,9,65,140,261,23,9,98,40,9,64,974,828,106,160
30,14,184,262,57,43,680,300,129,1352,77,61,43,166,3398,3065,272,161
30,11,186,79,71,81,551,282,115,1008,63,69,37,246,2829,2456,304,162
2,28,14,56,94,19,171,57,104,48,28,44,9,207,881,611,226,163
51,78,310,9,13,4,262,513,7,26,116,21,14,228,1652,1593,38,164
73,317,412,39,19,45,657,1137,38,102,954,51,15,365,4224,4056,117,165
855,201,216,175,192,276,103,334,165,88,68,129,67,711,3580,2751,700,166
296,372,120,42,57,55,509,483,53,115,50,114,13,297,2576,2284,178,167
40,10,254,63,45,38,620,221,67,375,123,46,17,333,2252,2039,167,168
2152,429,1944,182,114,168,340,3710,84,128,7196,314,151,817,17729,16898,517,169
38,233,48,111,67,39,515,246,59,255,30,140,12,830,2623,2306,177,170
13,330,11,82,13,9,12,25,45,53,5,75,18,288,979,819,85,171
1210,78,422,598,70,61,960,371,238,1414,82,378,37,1035,6954,6170,406,172
1302,1148,292,1696,58,28,447,916,82,899,426,140,63,3528,11025,10654,231,173
1452,18,114,84,34,16,120,40,74,44,39,143,94,34,2306,1945,218,174
41,65,154,19,61,16,868,884,10,42,74,114,4,120,2472,2267,91,175
1512,177,406,92,150,84,453,907,84,140,185,252,80,1454,5976,5326,398,176
815,5201,543,216,79,95,3875,8448,80,236,8328,322,126,1647,30011,29309,380,177
9,59,29,12,68,27,138,82,43,41,7,83,20,111,729,488,158,178
100,49,23,14,161,30,90,68,45,8,12,139,36,127,902,491,272,179
6,240,26,29,0,0,3,62,3,0,71,30,0,134,604,571,3,180
22,280,63,158,46,10,42,122,11,108,153,18,19,670,1722,1618,86,181
167,696,97,236,92,42,160,633,30,212,221,74,14,1716,4390,4138,178,182
604,35,91,62,46,18,24,24,76,16,18,166,236,23,1439,897,376,183
128,13,65,59,59,26,27,66,49,9,21,58,52,15,647,403,186,184
37,45,23,134,18,11,105,44,11,109,20,61,10,267,895,784,50,185
6,7,136,61,42,57,162,76,157,123,28,88,40,114,1097,713,296,186
140,85,123,82,17,24,189,167,9,186,39,53,4,438,1556,1449,54,187
92,210,109,11,124,46,71,120,27,13,44,96,16,102,1081,772,213,188
67,121,353,50,46,22,537,570,52,332,133,70,17,635,3005,2798,137,189
73,33,93,32,46,30,308,182,30,244,45,102,10,363,1591,1373,116,190
129,667,142,34,22,9,77,529,20,11,267,58,6,177,2148,2033,57,191
202,14,36,63,21,5,196,206,19,8,79,50,7,24,930,828,52,192
10,177,49,16,33,0,75,117,33,20,29,73,12,187,831,680,78,193
433,80,49,34,31,17,14,24,38,7,12,159,67,41,1006,694,153,194
1637,59,116,72,56,6,9,267,15,14,402,126,52,57,2888,2633,129,195
0,45,8,108,0,1,37,36,12,43,10,33,4,183,520,470,17,196
89,66,37,25,2,2,80,191,13,18,70,67,9,154,823,730,26,197
6,330,112,23,35,14,170,357,71,26,306,72,40,209,1771,1539,160,198
20,30,117,30,93,63,231,175,45,117,45,130,17,238,1351,1003,218,199
9,33,292,71,34,33,402,583,14,73,680,30,14,239,2507,2382,95,200
24,14,86,19,51,12,131,177,4,26,77,30,7,101,759,655,74,201
966,9437,1228,7842,398,289,5430,14447,550,1704,10464,636,356,16918,70665,68436,1593,202
40,19,16,9,76,11,32,31,7,10,10,35,9,41,346,208,103,203
480,209,452,223,24,11,133,241,8,301,215,28,8,1398,3731,3652,51,204
15,318,97,458,50,26,340,240,123,528,91,86,37,1111,3520,3198,236,205
7,70,65,142,15,0,106,92,3,113,54,17,3,396,1083,1045,21,206
19,37,58,11,119,16,181,122,22,61,30,96,25,193,990,712,182,207
30,29,251,49,10,49,455,679,85,96,388,126,15,223,2485,2200,159,208
1243,228,432,92,126,278,177,645,86,65,362,119,195,773,4821,4017,685,209
0,522,8,20,3,14,1,105,6,14,52,71,5,113,934,835,28,210
28,110,282,35,1,10,307,524,65,324,197,74,7,81,2045,1888,83,211
8,32,6,5,0,5,124,77,7,10,8,44,10,41,377,311,22,212
1,132,44,15,42,111,17,53,224,8,24,170,70,59,970,353,447,213
69,209,254,305,47,41,716,1070,86,199,304,141,48,775,4264,3901,222,214
58,68,87,653,120,74,1055,340,288,1175,534,137,210,1435,6234,5405,692,215
132,159,3249,89,8,15,843,1684,9,159,2368,80,14,1338,10147,10021,46,216
1,204,109,87,20,16,52,168,38,16,142,31,37,240,1161,1019,111,217
7,27,93,35,40,24,555,258,29,285,69,105,3,268,1798,1597,96,218
0,20,56,112,4,1,105,53,10,123,23,14,0,177,698,669,15,219
560,416,172,157,273,204,304,444,148,106,59,298,43,752,3936,2970,668,220
58,349,582,88,41,79,2050,2551,96,440,747,116,27,753,7977,7618,243,221
237,448,239,47,21,29,1276,1633,34,169,449,93,16,838,5529,5336,100,222
143,23,59,13,32,35,3,31,19,0,16,64,81,21,540,309,167,223
10,36,19,49,66,9,93,37,23,91,8,78,2,202,723,545,100,224
18,167,1247,181,54,87,1084,1921,51,610,1479,60,25,1093,8077,7800,217,225
8,9,131,18,30,19,252,172,22,141,28,43,6,66,945,825,77,226
80,367,267,22,117,36,35,488,32,6,453,88,26,214,2231,1932,211,227
643,122,977,41,13,6,925,1846,16,312,642,82,14,676,6315,6184,49,228
135,26,100,199,16,24,1219,340,94,567,363,167,46,194,3490,3143,180,229
194,70,102,389,110,37,2217,505,183,1914,305,210,92,1425,7753,7121,422,230
39,118,70,70,7,5,366,704,4,332,557,25,20,623,2940,2879,36,231
124,143,193,34,59,19,187,175,51,84,44,140,24,444,1721,1428,153,232
119,489,383,27,13,5,35,370,7,8,140,42,12,320,1970,1891,37,233
5,6,19,37,13,16,66,24,19,30,7,27,14,70,353,264,62,234
10,22,67,116,36,18,410,117,31,443,34,58,17,330,1709,1549,102,235
48,45,253,136,89,118,405,652,313,248,197,121,68,186,2879,2170,588,236
273,22,45,23,31,10,81,157,27,9,23,70,116,170,1057,803,184,237
1,330,6,22,7,8,0,84,8,0,31,30,4,100,631,574,27,238
2,256,25,101,90,43,315,512,61,142,153,51,43,448,2242,1954,237,239
18,13,18,6,12,11,104,78,65,28,7,131,12,30,533,302,100,240
131,38,41,10,41,31,411,319,28,10,55,67,8,100,1290,1115,108,241
13,232,307,389,75,11,764,565,108,703,509,123,73,831,4703,4313,267,242
65,13,39,20,2,11,571,225,22,248,44,81,1,257,1599,1482,36,243
82,49,276,4,11,9,255,495,4,47,265,28,3,221,1749,1694,27,244
10,13,682,17,0,15,224,211,21,62,118,51,3,163,1590,1500,39,245
11,7,66,112,57,23,307,86,80,208,27,64,24,16,1088,840,184,246
1960,5967,900,396,47,37,639,2736,36,1291,1303,143,28,8108,23591,23300,148,247
3,21,28,50,11,4,89,55,10,80,19,25,7,171,573,516,32,248
370,134,51,19,5,14,1,32,27,3,12,104,26,20,818,642,72,249
19,41,44,21,13,54,0,57,38,2,36,62,97,20,504,240,202,250
68,216,12,121,0,0,18,77,11,13,45,40,2,264,887,834,13,251
24,817,11,344,22,9,37,386,12,14,157,24,23,650,2530,2440,66,252
0,243,27,16,3,5,0,48,8,8,65,18,4,150,595,557,20,253
2,23,6,175,4,9,50,42,3,20,21,8,0,136,499,475,16,254
44,14,150,0,18,0,79,179,11,6,64,32,5,42,644,578,34,255
6,65,15,224,39,91,36,36,112,29,23,205,53,250,1184,684,295,256
22,20,136,43,31,27,514,373,20,355,88,47,5,249,1930,1800,83,257
476,383,95,60,8,7,3,53,7,20,54,48,26,79,1319,1223,48,258
82,50,115,52,83,23,109,252,112,46,38,70,18,221,1271,965,236,259
202,639,144,50,154,55,1157,1063,131,253,92,347,35,499,4821,4099,375,260
71,420,56,470,122,25,163,294,356,411,148,109,158,1090,3893,3123,661,261
936,50,250,345,105,52,376,531,150,130,45,219,116,422,3727,3085,423,262
1819,208,803,206,79,273,137,2555,505,252,3715,336,161,267,11316,9962,1018,263
75,173,166,89,96,34,1094,708,60,609,120,202,24,1244,4694,4278,214,264
0,81,18,10,2,3,38,23,11,3,0,32,9,54,284,227,25,265
127,591,16,491,19,11,45,126,8,44,135,40,5,672,2330,2247,43,266
16,55,10,24,30,22,285,206,44,75,28,86,16,109,1006,808,112,267
21,321,146,47,24,8,55,260,21,9,55,39,15,336,1357,1250,68,268
33,48,18,8,22,25,71,37,38,12,13,48,33,43,449,283,118,269
31,35,188,65,97,44,543,653,119,199,218,171,29,356,2748,2288,289,270
15,19,147,27,40,31,256,211,43,54,26,102,10,113,1094,868,124,271
89,401,536,22,7,6,411,747,3,55,362,48,1,329,3017,2952,17,272
67,69,53,10,8,5,4,73,10,0,41,85,11,25,461,342,34,273
14,73,104,18,22,26,951,927,19,139,165,66,10,182,2716,2573,77,274
10,38,82,18,20,20,468,480,26,99,94,36,18,150,1559,1439,84,275
120,500,26,40,26,4,189,408,15,73,126,84,19,487,2117,1969,64,276
1552,80,399,13,59,52,14,799,46,34,1583,90,19,69,4809,4543,176,277
134,63,74,25,34,12,581,266,31,321,31,78,28,392,2070,1887,105,278
255,315,56,27,5,4,6,48,10,14,23,83,36,103,985,847,55,279
9,53,65,4,17,18,36,92,22,6,35,19,12,38,426,338,69,280
35,81,258,98,53,18,435,461,29,255,137,102,8,620,2590,2380,108,281
13,47,6,99,12,7,51,46,8,68,8,37,15,231,648,569,42,282
1193,300,149,20,13,13,29,430,16,21,296,106,19,97,2702,2535,61,283
7,17,172,13,22,46,140,239,8,14,147,19,7,70,921,819,83,284
0,15,73,75,14,0,70,105,29,125,26,26,15,216,789,705,58,285
27,6,22,1,30,18,154,60,17,24,7,47,7,25,445,326,72,286
225,20,118,27,39,51,466,260,92,215,48,228,35,193,2017,1572,217,287
18,161,16,98,20,11,143,81,14,152,36,42,10,381,1183,1086,55,288
18,3,10,42,32,8,393,99,65,135,99,59,22,23,1008,822,127,289
2,9,73,71,39,10,197,102,25,60,26,43,10,179,846,719,84,290
48,342,30,21,3,7,334,625,5,34,257,25,13,155,1899,1846,28,291
481,273,63,31,61,24,8,90,26,15,35,84,71,130,1392,1126,182,292
49,3,5,2,57,17,68,32,38,0,0,67,50,7,395,166,162,293
13,40,24,200,50,20,416,108,57,404,163,59,94,314,1962,1682,221,294
274,169,399,493,89,70,1788,1579,315,1666,233,199,218,1451,8943,8052,692,295
11,123,30,293,49,18,100,101,50,151,54,40,27,431,1478,1294,144,296
3,13,30,15,47,8,496,71,27,212,23,66,28,144,1183,1007,110,297
105,5,54,24,62,111,63,71,89,17,10,55,27,33,726,382,289,298
50,136,217,738,85,52,1288,1296,51,904,785,128,52,1599,7381,7013,240,299
45,542,50,145,12,22,161,110,79,364,18,211,15,766,2540,2201,128,300
102,48,151,10,73,19,59,137,30,6,28,71,25,95,854,636,147,301
86,20,66,146,42,21,467,344,52,284,34,84,21,116,1783,1563,136,302
73,10,77,9,26,12,169,160,26,52,30,79,10,78,811,658,74,303
90,147,100,18,10,12,24,80,25,14,16,87,19,211,853,700,66,304
0,13,23,72,117,79,140,46,268,118,8,122,92,59,1157,479,556,305
12,98,101,21,70,19,46,120,65,12,33,67,71,105,840,548,225,306
0,21,7,62,5,0,102,16,6,73,88,13,0,78,471,447,11,307
99,119,63,32,102,27,229,271,87,72,72,125,56,158,1512,1115,272,308
168,317,30,25,24,3,239,249,9,37,38,33,6,481,1659,1584,42,309
37,4,21,1,41,16,114,55,31,21,4,52,8,24,429,281,96,310
175,65,156,26,71,17,4,244,57,8,316,200,64,54,1457,1048,209,311
68,597,295,96,85,376,381,879,52,90,297,103,21,321,3661,3024,534,312
32,54,62,13,48,18,106,145,34,23,17,69,21,91,733,543,121,313
28,39,23,8,88,27,171,86,62,52,7,98,69,31,789,445,246,314
76,46,36,27,14,13,587,167,23,425,46,49,0,423,1932,1833,50,315
1795,495,283,46,170,65,33,171,71,27,36,226,81,106,3605,2992,387,316
6,19,47,5,19,0,52,58,2,26,17,29,0,54,334,284,21,317
23,110,163,55,218,113,1079,927,72,271,62,261,6,1110,4470,3800,409,318
5,42,0,111,0,1,65,28,4,47,88,33,8,62,494,448,13,319
17,28,83,79,164,32,729,299,104,503,54,143,40,231,2506,2023,340,320
630,211,258,11,23,98,32,132,56,10,36,194,47,86,1824,1406,224,321
90,8,178,9,56,15,142,205,60,19,55,107,47,87,1078,793,178,322
0,47,3,137,12,7,68,40,9,40,33,17,0,68,481,436,28,323
0,28,3,7,30,7,11,8,20,21,2,14,13,45,209,125,70,324
20,169,38,32,23,7,68,85,9,105,30,21,4,369,980,916,43,325
6,47,3,2,15,3,12,5,6,15,1,13,12,73,213,164,36,326
0,182,8,38,35,27,64,56,40,56,12,16,24,274,832,690,126,327
18,60,6,14,20,9,23,27,11,35,8,26,12,148,417,339,52,328
8,8,11,15,32,13,88,42,20,64,4,27,7,57,396,297,72,329
11,45,78,17,41,14,66,98,34,17,24,64,85,53,647,409,174,330
2,4,17,13,21,2,138,65,10,72,5,54,1,48,452,364,34,331
58,272,35,279,15,15,36,274,9,94,136,30,1,754,2008,1938,40,332
321,44,225,63,106,19,457,336,23,288,55,112,5,766,2820,2555,153,333
44,38,179,12,7,20,239,267,8,63,24,26,7,51,985,917,42,334
10,6,32,12,42,40,92,73,65,68,10,61,9,42,562,345,156,335
0,25,4,112,45,2,151,59,26,121,16,37,9,176,783,664,82,336
30,41,36,5,20,7,127,164,3,9,61,45,6,62,616,535,36,337
1080,77,324,54,93,10,20,167,30,21,45,127,70,128,2246,1916,203,338
3,57,35,16,88,19,45,69,22,11,17,22,11,84,499,337,140,339
325,78,39,26,103,95,44,74,60,6,9,140,97,125,1221,726,355,340
6,19,9,15,21,7,86,48,10,18,15,28,3,95,380,311,41,341
13,325,129,14,98,112,486,663,39,65,364,126,19,178,2631,2237,268,342
1,2,20,32,71,18,139,62,45,54,10,42,15,56,567,376,149,343
183,278,96,51,43,3,360,479,31,273,116,33,32,534,2512,2370,109,344
121,18,24,28,4,10,21,32,27,67,2,47,7,120,528,433,48,345
43,1,23,24,0,1,607,130,14,271,81,83,10,61,1349,1241,25,346
13,341,10,33,21,1,337,510,5,52,229,41,4,225,1822,1750,31,347
9,10,54,15,116,31,164,152,95,51,25,114,44,74,954,554,286,348
14,11,39,13,29,24,127,61,230,41,12,102,54,56,813,374,337,349
2,42,102,2,5,18,51,83,33,6,24,90,0,35,493,347,56,350
120,158,78,6,4,2,38,145,0,5,31,20,2,133,742,714,8,351
44,172,9,38,38,7,17,85,3,10,13,32,0,182,650,570,48,352
63,96,15,32,11,2,389,238,4,221,47,31,7,268,1424,1369,24,353
29,56,51,6,5,10,128,159,17,29,52,71,13,107,733,617,45,354
441,61,338,53,86,44,1402,1396,53,887,215,132,29,541,5678,5334,212,355
459,53,85,20,61,13,471,300,92,147,43,232,39,109,2124,1687,205,356
6,10,18,18,23,2,131,110,20,31,32,26,4,53,484,409,49,357
58,83,52,0,25,8,239,313,28,53,61,65,9,45,1039,904,70,358
5,75,47,67,0,3,53,57,12,37,27,15,5,246,649,614,20,359
648,26,121,5,33,10,598,354,9,44,38,62,22,24,1994,1858,74,360
125,8,25,98,57,27,109,87,53,66,22,40,38,89,844,629,175,361
18,8,15,8,57,33,16,17,30,1,0,56,29,42,330,125,149,362
7,20,15,29,19,10,125,115,7,24,17,27,9,121,545,473,45,363
1,0,49,37,46,4,72,78,124,29,26,57,18,54,595,346,192,364
3,36,33,2,46,14,86,60,33,12,9,50,10,41,435,282,103,365
